"","application","case","highest_frame","exception_name","avg_time.De-MO","avg_time.Single","avg_time.SPEA2","reproduction_rate.De-MO_60 seconds budget","reproduction_rate.Single_60 seconds budget","reproduction_rate.SPEA2_60 seconds budget","reproduction_rate.De-MO_120 seconds budget","reproduction_rate.Single_120 seconds budget","reproduction_rate.SPEA2_120 seconds budget","reproduction_rate.De-MO_180 seconds budget","reproduction_rate.Single_180 seconds budget","reproduction_rate.SPEA2_180 seconds budget","reproduction_rate.De-MO_240 seconds budget","reproduction_rate.Single_240 seconds budget","reproduction_rate.SPEA2_240 seconds budget","reproduction_rate.De-MO_300 seconds budget","reproduction_rate.Single_300 seconds budget","reproduction_rate.SPEA2_300 seconds budget","number.of.classes","number.of.methods"
"1","chart","CHART-4b",6,"java.lang.NullPointerException",8.3,5.33333333333333,4.46666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6
"2","lang","LANG-12b",2,"java.lang.ArrayIndexOutOfBoundsException",12.6333333333333,15.8333333333333,8.66666666666667,0.966666666666667,0.966666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","lang","LANG-16b",1,"java.lang.NumberFormatException",1.2,1.16666666666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","lang","LANG-19b",3,"java.lang.StringIndexOutOfBoundsException",300,300,281.8,0,0,0,0,0,0.0333333333333333,0,0,0.0333333333333333,0,0,0.133333333333333,0,0,0.166666666666667,2,2
"5","lang","LANG-1b",2,"java.lang.NumberFormatException",2.63333333333333,2.83333333333333,0.733333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"6","lang","LANG-20b",2,"java.lang.NullPointerException",300,283.633333333333,290.266666666667,0,0,0.0333333333333333,0,0.0333333333333333,0.0333333333333333,0,0.0666666666666667,0.0333333333333333,0,0.1,0.0333333333333333,0,0.166666666666667,0.0333333333333333,1,1
"7","lang","LANG-27b",1,"java.lang.StringIndexOutOfBoundsException",16.2,12.8666666666667,19.1666666666667,0.966666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","lang","LANG-2b",1,"java.lang.IllegalArgumentException",0,0.2,0.133333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9","lang","LANG-33b",1,"java.lang.NullPointerException",8.43333333333333,8.56666666666667,6.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","lang","LANG-35b",2,"java.text.ParseException",5.23333333333333,5.63333333333333,3.43333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"11","lang","LANG-36b",1,"java.lang.NumberFormatException",1,1.06666666666667,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","lang","LANG-39b",2,"java.lang.NullPointerException",5.1,7.4,6.76666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13","lang","LANG-45b",1,"java.lang.StringIndexOutOfBoundsException",1.06666666666667,1.03333333333333,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14","lang","LANG-47b",1,"java.lang.NullPointerException",8.3,6.1,1.96666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15","lang","LANG-51b",1,"java.lang.StringIndexOutOfBoundsException",266.7,280.133333333333,243,0.0666666666666667,0,0.1,0.1,0.0666666666666667,0.2,0.133333333333333,0.1,0.233333333333333,0.166666666666667,0.1,0.266666666666667,0.2,0.1,0.266666666666667,1,1
"16","lang","LANG-54b",1,"java.lang.IllegalArgumentException",135.2,206.866666666667,63.7,0.333333333333333,0.1,0.6,0.433333333333333,0.266666666666667,0.866666666666667,0.766666666666667,0.4,0.966666666666667,0.833333333333333,0.5,1,0.866666666666667,0.6,1,1,1
"17","lang","LANG-57b",1,"java.lang.NullPointerException",110.5,80.3666666666667,100,0.633333333333333,0.733333333333333,0.666666666666667,0.633333333333333,0.733333333333333,0.666666666666667,0.633333333333333,0.733333333333333,0.666666666666667,0.633333333333333,0.733333333333333,0.666666666666667,0.633333333333333,0.733333333333333,0.666666666666667,1,1
"18","lang","LANG-5b",1,"java.lang.IllegalArgumentException",0.233333333333333,0.566666666666667,0.0333333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19","lang","LANG-6b",2,"java.lang.StringIndexOutOfBoundsException",300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"20","lang","LANG-9b",5,"java.lang.ArrayIndexOutOfBoundsException",31.2,37.5,6.3,0.9,0.866666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5
"21","math","MATH-100b",1,"java.lang.ArrayIndexOutOfBoundsException",11.4333333333333,44.1333333333333,7.4,1,0.866666666666667,1,1,0.9,1,1,0.9,1,1,0.933333333333333,1,1,0.933333333333333,1,1,1
"22","math","MATH-103b",1,"org.apache.commons.math.MaxIterationsExceededException",1,0.933333333333333,0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23","math","MATH-1b",2,"org.apache.commons.math3.fraction.FractionConversionException",2.23333333333333,2.03333333333333,1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","math","MATH-32b",4,"java.lang.ClassCastException",297.666666666667,300,300,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0.0333333333333333,0,0,3,4
"25","math","MATH-38b",6,"org.apache.commons.math.optimization.direct.BOBYQAOptimizer$PathIsExploredException",17.8,43.0333333333333,12.1666666666667,1,0.933333333333333,1,1,0.966666666666667,1,1,1,1,1,1,1,1,1,1,3,6
"26","math","MATH-3b",1,"java.lang.ArrayIndexOutOfBoundsException",280.133333333333,11.6333333333333,1.93333333333333,0.0666666666666667,0.966666666666667,1,0.0666666666666667,1,1,0.0666666666666667,1,1,0.0666666666666667,1,1,0.0666666666666667,1,1,1,1
"27","math","MATH-40b",5,"org.apache.commons.math.exception.TooManyEvaluationsException",23.4666666666667,27.1333333333333,14.3333333333333,0.933333333333333,0.966666666666667,1,0.966666666666667,1,1,1,1,1,1,1,1,1,1,1,2,5
"28","math","MATH-49b",3,"org.apache.commons.math.MathRuntimeException$6",29.9,28.3666666666667,24.5333333333333,0.933333333333333,0.9,0.9,0.933333333333333,0.966666666666667,1,0.933333333333333,0.966666666666667,1,0.966666666666667,0.966666666666667,1,0.966666666666667,0.966666666666667,1,3,3
"29","math","MATH-4b",3,"java.lang.NullPointerException",7.93333333333333,16.7,4.23333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3
"30","math","MATH-51b",6,"org.apache.commons.math.exception.TooManyEvaluationsException",11.8333333333333,21.4,6.06666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5
"31","math","MATH-58b",2,"org.apache.commons.math.exception.NotStrictlyPositiveException",3.2,3.76666666666667,2.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"32","math","MATH-61b",3,"org.apache.commons.math.MathRuntimeException$4",0.966666666666667,0.633333333333333,1.06666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
"33","math","MATH-70b",3,"java.lang.NullPointerException",5.13333333333333,4.8,3.46666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34","math","MATH-78b",3,"org.apache.commons.math.MathRuntimeException$4",7.46666666666667,108.133333333333,1.63333333333333,1,0.233333333333333,1,1,0.766666666666667,1,1,0.8,1,1,0.9,1,1,0.9,1,3,3
"35","math","MATH-79b",1,"java.lang.NullPointerException",244.033333333333,264.733333333333,254.466666666667,0.133333333333333,0.0333333333333333,0.0666666666666667,0.2,0.1,0.133333333333333,0.233333333333333,0.166666666666667,0.2,0.266666666666667,0.2,0.233333333333333,0.266666666666667,0.233333333333333,0.233333333333333,1,1
"36","math","MATH-81b",6,"java.lang.ArrayIndexOutOfBoundsException",242.533333333333,204.566666666667,249.866666666667,0.133333333333333,0.166666666666667,0,0.166666666666667,0.266666666666667,0.0666666666666667,0.233333333333333,0.333333333333333,0.2,0.233333333333333,0.566666666666667,0.333333333333333,0.266666666666667,0.566666666666667,0.433333333333333,1,6
"37","math","MATH-84b",3,"org.apache.commons.math.optimization.OptimizationException",61.6333333333333,80.1666666666667,69.4,0.6,0.366666666666667,0.6,0.933333333333333,0.8,0.766666666666667,0.966666666666667,0.933333333333333,0.933333333333333,0.966666666666667,0.966666666666667,1,0.966666666666667,1,1,2,3
"38","math","MATH-89b",1,"java.lang.ClassCastException",3.86666666666667,2.63333333333333,2.96666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39","math","MATH-8b",1,"java.lang.ArrayStoreException",250.033333333333,276.933333333333,273.466666666667,0.0666666666666667,0,0.0666666666666667,0.233333333333333,0.1,0.0666666666666667,0.233333333333333,0.1,0.133333333333333,0.233333333333333,0.1,0.133333333333333,0.233333333333333,0.1,0.133333333333333,1,1
"40","math","MATH-90b",1,"java.lang.IllegalArgumentException",4.46666666666667,2.86666666666667,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41","math","MATH-95b",4,"java.lang.IllegalArgumentException",5.93333333333333,8.83333333333333,2.73333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3
"42","math","MATH-97b",1,"java.lang.IllegalArgumentException",5,4.6,2.63333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"43","math","MATH-98b",1,"java.lang.ArrayIndexOutOfBoundsException",24.9333333333333,37.7666666666667,49.3,0.966666666666667,0.9,0.733333333333333,1,0.966666666666667,0.966666666666667,1,1,1,1,1,1,1,1,1,1,1
"44","mockito","MOCKITO-10b",1,"org.mockito.exceptions.base.MockitoException",250.133333333333,10.1666666666667,10.3333333333333,0.166666666666667,1,1,0.166666666666667,1,1,0.166666666666667,1,1,0.166666666666667,1,1,0.166666666666667,1,1,1,1
"45","mockito","MOCKITO-16b",4,"org.mockito.exceptions.misusing.MissingMethodInvocationException",240.233333333333,7.13333333333333,4.53333333333333,0.2,1,1,0.2,1,1,0.2,1,1,0.2,1,1,0.2,1,1,3,4
"46","mockito","MOCKITO-21b",3,"org.mockito.internal.creation.instance.InstantationException",2.1,1.93333333333333,2.06666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
"47","mockito","MOCKITO-36b",1,"java.lang.NullPointerException",10.2666666666667,18.6333333333333,7.73333333333333,1,0.966666666666667,0.966666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48","mockito","MOCKITO-9b",3,"org.mockito.exceptions.base.MockitoException",98.7333333333333,300,300,0.5,0,0,0.8,0,0,0.8,0,0,0.833333333333333,0,0,0.866666666666667,0,0,3,3
"49","time","TIME-10b",5,"org.joda.time.IllegalFieldValueException",129.133333333333,243.566666666667,92.7,0.466666666666667,0.0666666666666667,0.566666666666667,0.6,0.1,0.7,0.7,0.233333333333333,0.8,0.7,0.3,0.9,0.766666666666667,0.4,0.9,5,5
"50","time","TIME-20b",1,"java.lang.IllegalArgumentException",5.23333333333333,5.76666666666667,3.96666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51","time","TIME-5b",3,"java.lang.UnsupportedOperationException",183.066666666667,133.8,110.933333333333,0.4,0.566666666666667,0.633333333333333,0.4,0.566666666666667,0.633333333333333,0.4,0.566666666666667,0.633333333333333,0.4,0.566666666666667,0.633333333333333,0.4,0.566666666666667,0.633333333333333,2,3
"52","time","TIME-7b",6,"org.joda.time.IllegalFieldValueException",299.566666666667,261.1,283.3,0,0.0333333333333333,0.0333333333333333,0,0.133333333333333,0.0666666666666667,0,0.166666666666667,0.0666666666666667,0,0.233333333333333,0.0666666666666667,0.0333333333333333,0.233333333333333,0.0666666666666667,5,5
"53","time","TIME-8b",1,"java.lang.IllegalArgumentException",1.46666666666667,1.93333333333333,3.76666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54","xwiki","XCOMMONS-1057",2,"java.lang.ClassCastException",300,227.9,267.9,0,0,0,0,0.1,0.0666666666666667,0,0.3,0.166666666666667,0,0.466666666666667,0.2,0,0.566666666666667,0.266666666666667,2,2
"55","xwiki","XCOMMONS-928",2,"java.lang.NullPointerException",64.3666666666667,300,34.7333333333333,0.533333333333333,0,0.833333333333333,0.833333333333333,0,0.933333333333333,0.933333333333333,0,0.966666666666667,0.966666666666667,0,0.966666666666667,1,0,0.966666666666667,1,2
"56","xwiki","XRENDERING-422",5,"java.util.NoSuchElementException",290.533333333333,291.7,282.7,0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0666666666666667,0.0333333333333333,0.0333333333333333,0.0666666666666667,0.0666666666666667,0.0333333333333333,0.0666666666666667,0.0666666666666667,0.0333333333333333,0.0666666666666667,3,4
"57","xwiki","XRENDERING-481",2,"java.lang.NullPointerException",265.666666666667,294.366666666667,268.866666666667,0.133333333333333,0,0.0666666666666667,0.133333333333333,0,0.133333333333333,0.133333333333333,0.0333333333333333,0.133333333333333,0.133333333333333,0.0333333333333333,0.133333333333333,0.133333333333333,0.0333333333333333,0.133333333333333,2,2
"58","xwiki","XWIKI-12482",5,"java.lang.NullPointerException",295.9,299.5,300,0,0,0,0,0,0,0.0333333333333333,0,0,0.0333333333333333,0,0,0.0333333333333333,0.0333333333333333,0,2,5
"59","xwiki","XWIKI-12667",6,"java.lang.IllegalArgumentException",54.7,42.1666666666667,31.9333333333333,0.766666666666667,0.866666666666667,0.9,0.833333333333333,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333,0.966666666666667,0.933333333333333,0.933333333333333,0.966666666666667,0.933333333333333,0.933333333333333,0.966666666666667,3,6
"60","xwiki","XWIKI-12889",1,"java.lang.NullPointerException",112.733333333333,231.933333333333,199.8,0,0,0.0333333333333333,0.766666666666667,0.0666666666666667,0.3,0.966666666666667,0.333333333333333,0.366666666666667,0.966666666666667,0.5,0.633333333333333,0.966666666666667,0.566666666666667,0.633333333333333,1,1
"61","xwiki","XWIKI-12919",3,"org.xwiki.query.jpql.parser.ParserException",3.2,3.83333333333333,2.46666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3
"62","xwiki","XWIKI-13031",3,"java.lang.ClassCastException",60,79.0333333333333,7.76666666666667,0.666666666666667,0.5,1,0.9,0.8,1,0.966666666666667,0.933333333333333,1,0.966666666666667,0.966666666666667,1,0.966666666666667,1,1,1,3
"63","xwiki","XWIKI-13141",1,"com.xpn.xwiki.XWikiException",151.833333333333,101.733333333333,15.1,0.533333333333333,0.666666666666667,1,0.566666666666667,0.766666666666667,1,0.566666666666667,0.766666666666667,1,0.566666666666667,0.766666666666667,1,0.566666666666667,0.766666666666667,1,1,1
"64","xwiki","XWIKI-13196",4,"java.lang.IllegalArgumentException",32.8666666666667,34.6,44.6333333333333,0.9,0.9,0.833333333333333,0.933333333333333,0.933333333333333,0.9,0.966666666666667,0.933333333333333,0.9,0.966666666666667,0.966666666666667,0.9,0.966666666666667,0.966666666666667,0.9,3,4
"65","xwiki","XWIKI-13316",2,"java.lang.NullPointerException",87.6333333333333,169.5,66.6333333333333,0.366666666666667,0.133333333333333,0.533333333333333,0.733333333333333,0.366666666666667,0.866666666666667,0.9,0.566666666666667,0.966666666666667,0.966666666666667,0.733333333333333,1,1,0.833333333333333,1,2,2
"66","xwiki","XWIKI-13372",4,"java.lang.NullPointerException",289.233333333333,294.366666666667,300,0,0,0,0,0,0,0.0666666666666667,0,0,0.0666666666666667,0.0333333333333333,0,0.0666666666666667,0.1,0,4,4
"67","xwiki","XWIKI-13377",3,"java.lang.ClassCastException",281.133333333333,252.033333333333,227,0,0,0.0333333333333333,0,0.0333333333333333,0.166666666666667,0.0666666666666667,0.133333333333333,0.266666666666667,0.166666666666667,0.366666666666667,0.433333333333333,0.3,0.5,0.566666666666667,3,3
"68","xwiki","XWIKI-13546",6,"java.lang.IllegalArgumentException",8.93333333333333,9,5.53333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5
"69","xwiki","XWIKI-13616",2,"org.xwiki.mail.MailStoreException",184.3,300,272.566666666667,0.233333333333333,0,0.1,0.466666666666667,0,0.1,0.5,0,0.1,0.5,0,0.1,0.5,0,0.1,1,1
"70","xwiki","XWIKI-13916",3,"java.lang.ClassCastException",97.2333333333333,96.4666666666667,71.1666666666667,0.166666666666667,0.1,0.333333333333333,0.766666666666667,0.766666666666667,0.933333333333333,0.966666666666667,1,1,1,1,1,1,1,1,1,1
"71","xwiki","XWIKI-13942",5,"java.lang.IllegalArgumentException",188.8,295.7,213.6,0.4,0,0.3,0.4,0,0.3,0.4,0.0333333333333333,0.3,0.4,0.0333333333333333,0.333333333333333,0.4,0.0333333333333333,0.333333333333333,4,5
"72","xwiki","XWIKI-14152",5,"java.lang.StringIndexOutOfBoundsException",192.533333333333,151.2,163.566666666667,0.0333333333333333,0.0666666666666667,0.0666666666666667,0.233333333333333,0.466666666666667,0.266666666666667,0.466666666666667,0.766666666666667,0.566666666666667,0.666666666666667,0.8,0.866666666666667,0.733333333333333,0.866666666666667,0.933333333333333,3,4
"73","xwiki","XWIKI-14227",2,"java.lang.NullPointerException",300,300,167.2,0,0,0.266666666666667,0,0,0.433333333333333,0,0,0.6,0,0,0.633333333333333,0,0,0.7,2,2
"74","xwiki","XWIKI-14319",1,"java.lang.NullPointerException",164.3,143.4,142.166666666667,0.0333333333333333,0.0666666666666667,0.1,0.466666666666667,0.6,0.666666666666667,0.666666666666667,0.8,0.766666666666667,0.7,0.8,0.766666666666667,0.733333333333333,0.8,0.8,1,1
"75","xwiki","XWIKI-14475",1,"java.lang.NullPointerException",12.3333333333333,274.6,14.6,1,0.1,0.966666666666667,1,0.1,0.966666666666667,1,0.1,0.966666666666667,1,0.1,0.966666666666667,1,0.1,0.966666666666667,1,1
"76","xwiki","XWIKI-14554",1,"java.lang.NullPointerException",46.2666666666667,44.3,24.4666666666667,0.933333333333333,0.766666666666667,1,0.966666666666667,1,1,0.966666666666667,1,1,0.966666666666667,1,1,0.966666666666667,1,1,1,1
"77","xwiki","XWIKI-14556",7,"org.hibernate.QueryParameterException",295.333333333333,300,300,0,0,0,0,0,0,0.0333333333333333,0,0,0.0333333333333333,0,0,0.0333333333333333,0,0,1,3
"78","xwiki","XWIKI-14599",1,"java.lang.NullPointerException",10.0666666666667,300,7.86666666666667,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1
"79","xwiki","XWIKI-14612",2,"java.lang.NullPointerException",14.8,14.6,10.9666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"80","xwiki","XWIKI-8281",1,"java.lang.IndexOutOfBoundsException",300,299.466666666667,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,1,1
